key,type,title,first_author,all_authors,year,venue,volume,number,pages,doi,eprint,category,concepts,has_pdf,pdf_path,cited_count
MezulisEtAl2004,article,"Is There a Universal Positivity Bias in Attributions? A Meta-Analytic Review of Individual, Developmental, and Cultural Differences in the Self-Serving Attributional Bias","Mezulis, Amy H.","Mezulis, Amy H.; Abramson, Lyn Y.; Hyde, Janet S.; Hankin, Benjamin L.",2004,Psychological Bulletin,130,5,711--747,10.1037/0033-2909.130.5.711,,self_serving_attribution,self_serving_attribution; positivity_bias; meta_analysis,,,
ShepperdMaloneSweeny2008,article,Exploring Causes of the Self-Serving Bias,"Shepperd, James","Shepperd, James; Malone, Wendi; Sweeny, Kate",2008,Social and Personality Psychology Compass,2,2,895--908,10.1111/j.1751-9004.2008.00113.x,,self_serving_attribution,self_serving_bias; motivated_reasoning; self_enhancement,,,
Langer1975,article,The Illusion of Control,"Langer, Ellen J.","Langer, Ellen J.",1975,Journal of Personality and Social Psychology,32,2,311--328,10.1037/h0076863,,overconfidence_control,illusion_of_control; perceived_control; choice_familiarity,,,
ThompsonArmstrongThomas1998,article,"Illusions of Control, Underestimations, and Accuracy: A Control Heuristic Explanation","Thompson, Suzanne C.","Thompson, Suzanne C.; Armstrong, Wade; Thomas, Craig",1998,Psychological Bulletin,123,2,143--161,10.1037/0033-2909.123.2.143,,overconfidence_control,illusion_of_control; control_heuristic; intentionality_connection,,,
MooreHealy2008,article,The Trouble with Overconfidence,"Moore, Don A.","Moore, Don A.; Healy, Paul J.",2008,Psychological Review,115,2,502--517,10.1037/0033-295X.115.2.502,,overconfidence_control,overestimation; overplacement; overprecision; overconfidence,,,
LarrickBursonSoll2007,article,Social Comparison and Confidence: When Thinking You're Better Than Average Predicts Overconfidence (And When It Does Not),"Larrick, Richard P.","Larrick, Richard P.; Burson, Katherine A.; Soll, Jack B.",2007,Organizational Behavior and Human Decision Processes,102,1,76--94,10.1016/j.obhdp.2006.10.002,,overconfidence_control,social_comparison; better_than_average_effect; overplacement,,,
Goodie2003,article,The Effects of Control on Betting: Paradoxical Betting on Items of High Confidence with Low Value,"Goodie, Adam S.","Goodie, Adam S.",2003,"Journal of Experimental Psychology: Learning, Memory, and Cognition",29,4,598--610,10.1037/0278-7393.29.4.598,,overconfidence_control,control; betting; calibration; decision_value,,,
PrahlVanSwol2017,article,Understanding Algorithm Aversion: When Is Advice from Automation Discounted?,"Prahl, Andrew","Prahl, Andrew; Van Swol, Lyn M.",2017,Journal of Forecasting,36,6,691--702,10.1002/for.2496,,algorithm_aversion,algorithm_aversion; advice_discounting; perceived_similarity,True,defense_project\reference_materials\papers_originals\algorithm_aversion\PrahlVanSwol2017.pdf,
LongoniBonezziMorewedge2019,article,Resistance to Medical Artificial Intelligence,"Longoni, Chiara","Longoni, Chiara; Bonezzi, Andrea; Morewedge, Carey K.",2019,Journal of Consumer Research,46,4,629--650,10.1093/jcr/ucz013,,algorithm_aversion,AI_resistance; medical_AI; uniqueness_neglect,,,
VodrahalliEtAl2021,article,Do Humans Trust Advice More if It Comes from AI? An Analysis of Human-AI Interactions,"Vodrahalli, Kailas","Vodrahalli, Kailas; Daneshjou, Roxana; Gerstenberg, Tobias; Zou, James",2021,,,,,,2107.07015,algorithms_trust_hci,human_AI_advice; activation_integration_model; AI_advice_use,True,defense_project\reference_materials\papers_originals\algorithms_trust_hci\VodrahalliEtAl2021.pdf,
